DateTime,AddedIPs,RemovedIPs
1649383449,350,333
1649386087,62,25
1649394018,26,32
1649428808,14,12
1649466019,1488,1825
1649471769,61,50
1649475148,352,321
1649483531,38,23
1649514969,13,23
1649548819,1297,1638
1649557926,54,97
1649567529,353,323
1649569686,38,24
1649604488,5,3
1649631619,1170,1987
1649643367,59,31
1649654887,28,26
1649659713,358,335
1649690169,9,5
1649729051,39,24
1649733127,33,38
1649740808,39,31
1649751851,388,320
1649757619,2423,2781
1649775607,9,11
1649818569,67,45
1649826251,25,27
1649843530,373,354
1649844017,1561,1984
1649860810,13,0
1649903771,64,0
1649915140,47,24
1649930420,1621,2214
1649935233,354,317
1649949846,13,20
1649988966,83,50
1650000725,42,29
1650016819,1656,1873
1650027129,356,282
1650035285,14,17
1650074652,37,18
1650078485,29,48
1650086407,25,35
1650099618,1373,1511
1650119533,362,315
1650121449,10,9
1650160808,29,30
1650164649,39,36
1650172329,32,0
1650186021,1286,1651
1650208085,5,6
1650210968,400,326
1650250569,64,62
1650258252,18,30
1650272418,1266,1849
1650293285,7,7
1650302650,366,320
1650335765,59,44
1650347288,27,45
1650355216,1688,2000
1650381849,4,19
1650394845,360,338
1650420731,27,20
1650424566,37,34
1650432486,19,31
1650438019,1827,1856
1650467285,6,7
1650487240,372,306
1650510019,64,31
1650517686,32,0
1650524418,1769,2006
1650552968,6,0
1650579606,372,303
1650595448,55,20
1650607207,25,60
1650610818,1980,1861
1650638408,5,25
1650671313,327,316
1650681368,56,106
1650692891,30,38
1650697218,1733,1500
1650724570,9,14
1650762969,357,323
1650767290,56,46
1650778811,23,28
1650783617,1380,1558
1650813369,5,12
1650852036,25,0
1650854917,344,329
1650855845,36,0
1650863769,22,35
1650870018,1427,2221
1650898565,9,12
1650941772,61,66
1650947022,357,301
1650949691,32,25
1650956417,1853,1869
1650975854,378,303
1650976807,117,0
1650977794,126,0
1650979057,145,0
1650980201,119,0
1650981127,107,0
1650982108,87,0
1650983078,82,0
1650984013,96,0
1650984971,127,7
1651027208,60,60
1651038968,43,31
1651042818,2082,1690
1651073770,8,29
1651076408,364,284
1651112650,69,58
1651124409,36,0
1651129218,1708,1901
1651159207,11,19
1651168570,355,310
1651198326,24,58
1651202164,36,25
1651209849,33,42
1651215618,1892,1907
1651244413,18,0
1651260521,351,305
1651287367,50,72
1651295047,28,44
1651302017,1433,1423
1651330087,5,13
1651352416,348,310
1651372809,50,24
1651384330,35,25
1651388418,1171,1289
1651416009,11,39
1651444572,344,339
1651458489,41,121
1651470010,16,64
1651471217,985,1465
1651505284,5,11
1651536012,353,345
1651544407,55,35
1651556167,39,29
1651591446,11,13
